Date,Price,Open,High,Low,Vol.,Change %
1/21/2021,"29,982.62","30,627.47","31,271.27","29,856.30",538.04M,-2.04%
12/20/2020,"30,606.48","29,797.50","30,637.47","29,599.29",8.18B,3.27%
11/20/2020,"29,638.64","26,691.28","30,116.51","26,691.28",7.92B,11.84%
10/20/2020,"26,501.60","27,940.63","28,957.90","26,143.77",8.51B,-4.61%
9/20/2020,"27,781.70","28,439.61","29,199.35","26,537.01",10.05B,-2.28%
8/20/2020,"28,430.05","26,542.32","28,733.35","26,534.38",7.51B,7.57%
7/20/2020,"26,428.32","25,879.38","27,071.33","25,523.51",8.27B,2.38%
6/20/2020,"25,812.88","25,342.99","27,580.21","24,843.18",9.82B,1.69%
5/20/2020,"25,383.11","24,120.78","25,758.79","22,789.62",8.01B,4.26%
4/20/2020,"24,345.72","21,227.38","24,764.77","20,735.02",9.88B,11.08%
3/20/2020,"21,917.16","25,590.51","27,102.34","18,213.65",15.60B,-13.74%
2/20/2020,"25,409.36","28,319.65","29,568.57","24,681.01",7.05B,-10.07%
1/20/2020,"28,256.03","28,638.97","29,373.62","28,169.53",6.27B,-0.99%
12/19/2019,"28,538.44","28,109.74","28,701.66","27,325.13",5.14B,1.74%
11/19/2019,"28,051.41","27,142.95","28,174.97","27,142.95",4.98B,3.72%
10/19/2019,"27,046.23","26,962.54","27,204.36","25,743.46",5.72B,0.48%
9/19/2019,"26,916.83","26,198.26","27,306.73","25,978.22",5.09B,1.95%
8/19/2019,"26,403.28","26,879.86","27,175.59","25,339.60",6.24B,-1.72%
7/19/2019,"26,864.27","26,805.86","27,398.68","26,616.21",5.27B,0.99%
6/19/2019,"26,599.96","24,830.16","26,907.37","24,680.57",5.54B,7.19%
5/19/2019,"24,815.04","26,639.06","26,689.39","24,809.51",6.36B,-6.69%
4/19/2019,"26,592.91","26,075.10","26,695.96","26,062.59",5.85B,2.56%
3/19/2019,"25,928.68","26,019.67","26,155.98","25,208.00",6.63B,0.05%
2/19/2019,"25,916.00","25,025.31","26,241.42","24,883.04",5.43B,3.67%
1/19/2019,"24,999.67","23,058.61","25,109.62","22,638.41",7.19B,7.17%
12/18/2018,"23,327.46","25,779.57","25,980.21","21,712.53",8.10B,-8.66%
11/18/2018,"25,538.46","25,142.08","26,277.82","24,268.74",7.23B,1.68%
10/18/2018,"25,115.76","26,598.36","26,951.81","24,122.23",8.37B,-5.07%
9/18/2018,"26,458.31","25,916.07","26,769.16","25,754.32",5.26B,1.90%
8/18/2018,"25,964.82","25,461.63","26,167.94","24,965.77",5.64B,2.16%
7/18/2018,"25,415.19","24,161.53","25,587.24","24,077.56",5.41B,4.71%
6/18/2018,"24,271.41","24,542.09","25,402.83","23,997.21",7.41B,-0.59%
5/18/2018,"24,415.84","24,117.29","25,086.49","23,531.31",7.28B,1.05%
