Date,Open,High,Low,Close,Adj Close,Volume
2006-05-01,561.200012,581.520020,519.119995,541.840027,541.840027,2026095
2006-06-01,534.719971,560.159973,519.359985,558.159973,558.159973,892266
2006-07-01,561.679993,596.799988,541.119995,556.159973,556.159973,1716369
2006-08-01,559.200012,578.719971,505.600006,518.400024,518.400024,1990392
2006-09-01,518.000000,518.400024,432.480011,456.000000,456.000000,3904353
2006-10-01,453.600006,455.200012,406.559998,416.799988,416.799988,4663604
2006-11-01,417.040009,441.679993,402.000000,436.640015,436.640015,6248892
2006-12-01,434.399994,441.600006,408.000000,412.799988,412.799988,3703052
2007-01-01,411.359985,411.359985,340.480011,385.920013,385.920013,16420291
2007-02-01,386.000000,412.320007,378.399994,409.440002,409.440002,10076265
2007-03-01,407.920013,433.600006,382.239990,426.799988,426.799988,8080918
2007-04-01,428.399994,433.760010,393.200012,409.920013,409.920013,6914780
2007-05-01,408.959991,413.040009,379.119995,391.679993,391.679993,8168520
2007-06-01,393.040009,427.600006,390.880005,424.000000,424.000000,8542543
2007-07-01,421.600006,470.640015,418.880005,468.239990,468.239990,5721318
2007-08-01,468.000000,473.600006,414.079987,446.239990,446.239990,7822616
2007-09-01,447.679993,514.000000,447.440002,500.399994,500.399994,6738041
2007-10-01,498.160004,587.440002,481.519989,586.159973,586.159973,8554393
2007-11-01,585.280029,620.719971,556.640015,559.280029,559.280029,9407556
2007-12-01,553.280029,618.559998,546.400024,606.080017,606.080017,7550367
2008-01-01,619.039978,632.719971,549.039978,578.799988,578.799988,10112719
2008-02-01,577.359985,653.679993,548.559998,643.359985,643.359985,9708753
2008-03-01,651.840027,702.320007,628.000000,650.880005,650.880005,18366705
2008-04-01,640.000000,770.239990,638.159973,740.000000,740.000000,17664182
2008-05-01,726.239990,866.880005,711.119995,824.479980,824.479980,32005692
2008-06-01,815.520020,926.159973,788.960022,909.280029,909.280029,37326428
2008-07-01,925.520020,953.359985,776.239990,799.919983,799.919983,41871466
2008-08-01,796.960022,829.119995,718.640015,742.960022,742.960022,34552567
2008-09-01,695.039978,714.400024,583.599976,656.080017,656.080017,38939444
2008-10-01,636.559998,651.520020,403.519989,444.720001,444.720001,30795919
2008-11-01,430.399994,470.239990,313.279999,336.720001,336.720001,28418779
2008-12-01,328.720001,333.119995,221.839996,264.799988,264.799988,71652167
2009-01-01,270.160004,310.000000,227.360001,233.759995,233.759995,98241631
2009-02-01,227.520004,240.000000,181.919998,216.399994,216.399994,93854068
2009-03-01,204.320007,257.279999,188.240005,232.399994,232.399994,74184756
2009-04-01,225.279999,249.839996,210.240005,229.039993,229.039993,40663804
2009-05-01,232.800003,291.359985,232.160004,291.200012,291.200012,33113253
2009-06-01,295.920013,320.000000,284.480011,303.440002,303.440002,35922280
2009-07-01,309.600006,310.959991,252.559998,294.480011,294.480011,37262267
2009-08-01,303.440002,310.399994,279.279999,288.399994,288.399994,30480008
2009-09-01,289.839996,302.720001,269.519989,289.519989,289.519989,33648030
2009-10-01,290.239990,335.359985,280.000000,314.559998,314.559998,40233206
2009-11-01,314.640015,331.519989,298.320007,313.200012,313.200012,30878468
2009-12-01,318.880005,320.480011,281.760010,314.239990,314.239990,32960118
2010-01-01,320.320007,329.519989,284.000000,285.119995,285.119995,28605457
2010-02-01,288.160004,313.839996,272.559998,310.559998,310.559998,33423193
2010-03-01,312.399994,325.040009,304.160004,322.320007,322.320007,28932695
2010-04-01,328.079987,337.519989,314.320007,330.640015,330.640015,25200968
2010-05-01,330.399994,335.200012,247.440002,272.320007,272.320007,49320295
2010-06-01,269.200012,288.320007,259.600006,271.679993,271.679993,29989180
2010-07-01,269.040009,284.480011,258.160004,282.720001,282.720001,23404367
2010-08-01,289.440002,297.200012,252.000000,255.360001,255.360001,25192306
2010-09-01,259.760010,279.679993,257.600006,278.720001,278.720001,23077831
2010-10-01,282.799988,293.359985,276.480011,281.359985,281.359985,22426306
2010-11-01,289.119995,304.480011,276.399994,288.320007,288.320007,27541516
2010-12-01,293.600006,314.000000,289.600006,312.000000,312.000000,17127268
2011-01-01,314.720001,315.839996,287.440002,308.880005,308.880005,27355354
2011-02-01,309.359985,324.799988,281.679993,313.519989,313.519989,44795480
2011-03-01,316.160004,342.640015,313.200012,340.799988,340.799988,54012082
2011-04-01,341.760010,362.799988,336.799988,361.200012,361.200012,27018168
2011-05-01,359.920013,364.799988,301.760010,324.000000,324.000000,53580794
2011-06-01,324.320007,324.480011,281.119995,297.920013,297.920013,33722318
2011-07-01,295.760010,314.000000,293.279999,299.359985,299.359985,21993479
2011-08-01,307.119995,307.760010,242.479996,276.079987,276.079987,46739479
2011-09-01,275.839996,280.640015,241.839996,243.919998,243.919998,30251405
2011-10-01,240.080002,291.920013,232.800003,285.920013,285.920013,33924843
2011-11-01,277.040009,317.920013,276.320007,310.239990,310.239990,34794555
2011-12-01,309.279999,316.000000,285.839996,304.880005,304.880005,24992256
2012-01-01,313.920013,319.679993,299.920013,302.559998,302.559998,25703167
2012-02-01,305.040009,336.559998,293.440002,327.359985,327.359985,24509142
2012-03-01,329.119995,338.399994,310.959991,313.839996,313.839996,28826916
2012-04-01,311.440002,321.040009,306.480011,317.440002,317.440002,14448793
2012-05-01,317.040009,322.320007,258.959991,260.880005,260.880005,21629279
2012-06-01,253.600006,262.399994,232.160004,254.639999,254.639999,27251941
2012-07-01,251.440002,278.720001,246.559998,261.440002,261.440002,23352768
2012-08-01,264.239990,291.600006,259.679993,287.119995,287.119995,18866094
2012-09-01,287.679993,297.359985,263.839996,272.959991,272.959991,21972193
2012-10-01,275.600006,277.600006,250.800003,254.240005,254.240005,24170243
2012-11-01,254.800003,263.440002,248.000000,260.480011,260.480011,20957668
2012-12-01,264.320007,267.760010,249.759995,266.959991,266.959991,10438455
2013-01-01,272.000000,284.239990,268.559998,282.239990,282.239990,11435255
2013-02-01,280.160004,284.160004,263.679993,264.480011,264.480011,11997494
2013-03-01,261.279999,278.720001,257.279999,278.000000,278.000000,10661932
2013-04-01,275.440002,278.880005,246.320007,265.279999,265.279999,17255604
2013-05-01,258.959991,276.720001,256.959991,260.880005,260.880005,17933930
2013-06-01,263.440002,280.480011,262.320007,273.440002,273.440002,13034880
2013-07-01,276.880005,308.959991,275.679993,298.880005,298.880005,16327954
2013-08-01,304.799988,315.679993,290.799988,307.839996,307.839996,18454181
2013-09-01,306.000000,316.320007,291.200012,294.799988,294.799988,15197156
2013-10-01,292.880005,300.720001,276.720001,277.519989,277.519989,17330781
2013-11-01,275.600006,275.600006,263.600006,267.679993,267.679993,13702129
2013-12-01,267.760010,288.559998,267.359985,282.559998,282.559998,12880919
2014-01-01,277.519989,281.440002,261.440002,278.399994,278.399994,14627368
2014-02-01,278.399994,296.880005,274.880005,293.920013,293.920013,8879129
2014-03-01,299.119995,301.920013,279.760010,292.720001,292.720001,8275769
2014-04-01,291.600006,302.480011,285.040009,290.559998,290.559998,7175303
2014-05-01,288.239990,306.160004,287.679993,301.440002,301.440002,5181867
2014-06-01,300.160004,315.519989,297.679993,311.040009,311.040009,5744019
2014-07-01,312.160004,312.959991,290.160004,290.559998,290.559998,9598445
2014-08-01,288.959991,292.480011,276.640015,286.079987,286.079987,9080118
2014-09-01,282.239990,286.079987,271.279999,275.279999,275.279999,12142693
2014-10-01,276.799988,279.839996,241.279999,245.039993,245.039993,22051206
2014-11-01,244.080002,245.759995,203.679993,204.639999,204.639999,26087667
2014-12-01,202.479996,211.119995,158.720001,162.880005,162.880005,60335993
2015-01-01,159.759995,162.800003,130.399994,142.559998,142.559998,83013319
2015-02-01,147.199997,162.320007,140.639999,144.800003,144.800003,93894742
2015-03-01,145.039993,152.800003,124.879997,134.720001,134.720001,82544019
2015-04-01,136.000000,164.399994,135.440002,164.080002,164.080002,72098881
2015-05-01,162.399994,172.000000,152.720001,162.479996,162.479996,53634529
2015-06-01,162.880005,166.399994,153.839996,159.039993,159.039993,41671618
2015-07-01,156.320007,156.639999,124.320000,124.720001,124.720001,66350082
2015-08-01,122.320000,129.199997,98.959999,127.120003,127.120003,85623467
2015-09-01,123.839996,126.800003,113.279999,117.440002,117.440002,76734669
2015-10-01,121.199997,129.600006,108.879997,118.480003,118.480003,76797981
2015-11-01,117.519997,123.599998,102.480003,103.440002,103.440002,64680565
2015-12-01,103.360001,104.879997,84.160004,88.000000,88.000000,93096606
2016-01-01,90.080002,91.360001,63.360001,77.199997,77.199997,156072405
2016-02-01,74.800003,77.199997,61.360001,72.000000,72.000000,136909204
2016-03-01,71.839996,86.400002,71.120003,77.599998,77.599998,109436293
2016-04-01,75.279999,92.000000,71.919998,90.400002,90.400002,94129031
2016-05-01,89.919998,97.040001,85.040001,94.959999,94.959999,59709906
2016-06-01,92.959999,99.599998,87.680000,92.559998,92.559998,64787620
2016-07-01,92.160004,94.239998,76.400002,78.080002,78.080002,61365669
2016-08-01,76.959999,91.040001,73.839996,82.879997,82.879997,92715430
2016-09-01,81.519997,88.239998,78.559998,87.440002,87.440002,122915893
2016-10-01,88.320000,94.320000,84.239998,84.239998,84.239998,121958094
2016-11-01,85.199997,88.800003,76.480003,87.440002,87.440002,119909356
2016-12-01,90.559998,95.519997,88.559998,93.760002,93.760002,83020993
2017-01-01,95.839996,96.000000,88.480003,90.559998,90.559998,53352879
2017-02-01,91.360001,93.199997,88.320000,91.599998,91.599998,48208291
2017-03-01,92.080002,92.400002,79.040001,85.120003,85.120003,75170691
2017-04-01,84.959999,90.080002,80.320000,81.919998,81.919998,59659979
2017-05-01,81.519997,85.599998,75.440002,79.680000,79.680000,87489681
2017-06-01,80.080002,81.279999,69.199997,76.000000,76.000000,95467067
2017-07-01,76.400002,82.559998,72.000000,82.239998,82.239998,78025942
2017-08-01,81.360001,82.000000,74.720001,77.040001,77.040001,66276479
2017-09-01,76.800003,85.199997,76.080002,83.440002,83.440002,46859417
2017-10-01,81.360001,87.680000,79.360001,87.440002,87.440002,41960268
2017-11-01,88.239998,94.320000,86.559998,91.760002,91.760002,44014068
2017-12-01,93.199997,96.720001,89.440002,96.080002,96.080002,31387504
2018-01-01,96.559998,106.400002,96.080002,103.839996,103.839996,48429367
2018-02-01,104.639999,106.080002,93.199997,98.959999,98.959999,56036506
2018-03-01,98.080002,106.400002,96.639999,104.720001,104.720001,53485669
2018-04-01,103.839996,112.000000,99.760002,110.400002,110.400002,46727117
2018-05-01,109.519997,117.919998,106.639999,108.400002,108.400002,56110094
2018-06-01,107.279999,120.639999,104.000000,120.480003,120.480003,56883094
2018-07-01,120.000000,122.000000,110.080002,114.239998,114.239998,59385606
2018-08-01,112.720001,118.639999,107.519997,117.680000,117.680000,52585793
2018-09-01,118.800003,124.559998,112.559998,124.160004,124.160004,38380580
2018-10-01,124.000000,129.919998,110.160004,110.320000,110.320000,69593429
2018-11-01,110.879997,110.879997,84.080002,85.839996,85.839996,105949167
2018-12-01,90.160004,91.839996,73.839996,77.279999,77.279999,85595641
2019-01-01,75.360001,93.040001,74.879997,90.800003,90.800003,79315017
