Date,Price,Open,High,Low,Vol.,Change %
1/21/2021,26.914,26.525,28.105,24.22,75.21K,1.90%
12/20/2020,26.412,22.7,27.635,22.665,1.56M,16.90%
11/20/2020,22.593,23.785,26.27,21.96,394.63K,-5.07%
10/20/2020,23.799,23.52,25.855,22.805,62.96K,0.73%
9/20/2020,23.627,28.6,29.38,21.93,55.02K,-17.84%
8/20/2020,28.756,25.545,30.365,23.98,39.37K,16.36%
7/20/2020,24.712,19.035,26.65,18.42,11.05K,30.43%
6/20/2020,18.947,18.86,19.22,17.62,5.83K,1.04%
5/20/2020,18.752,15.37,18.75,14.98,3.29K,23.06%
4/20/2020,15.238,14.195,16.445,14.12,3.09K,6.52%
3/20/2020,14.305,16.995,17.63,12,4.15K,-14.61%
2/20/2020,16.753,18.23,19.265,16.865,0.56K,-9.04%
1/20/2020,18.418,18.35,18.75,17.89,0.02K,0.37%
12/19/2019,18.35,17.12,17.14,17.12,0.02K,4.43%
11/19/2019,17.572,17.58,17.58,17.58,0.00K,-5.75%
10/19/2019,18.645,17.185,18.495,17.075,41.47K,6.37%
9/19/2019,17.529,19.985,19.985,18.66,0.00K,-6.87%
8/19/2019,18.823,16.55,18.87,16.19,33.87K,10.73%
7/19/2019,16.999,15.4,16.805,15.035,88.92K,6.99%
6/19/2019,15.888,15.405,15.405,15.35,0.00K,4.12%
5/19/2019,15.259,15.185,15.2,14.47,38.34K,-3.15%
4/19/2019,15.756,15.295,15.485,14.88,31.72K,3.01%
3/19/2019,15.295,15.75,15.835,15.135,13.46K,-1.56%
2/19/2019,15.538,16.01,16.07,15.52,18.49K,-3.02%
1/19/2019,16.022,15.52,16.14,15.14,0.58K,3.82%
12/18/2018,15.433,14.21,15.445,14.185,1.75K,9.50%
11/18/2018,14.094,14.58,14.645,13.945,24.66K,-0.95%
10/18/2018,14.229,14.35,14.74,14.215,0.88K,-2.69%
9/18/2018,14.623,14.45,14.555,13.91,3.86K,1.28%
8/18/2018,14.438,15.42,15.455,14.395,17.36K,-6.85%
7/18/2018,15.5,16.055,16.17,15.135,3.69K,-3.75%
6/18/2018,16.104,16.355,17.285,15.88,32.06K,-1.82%
5/18/2018,16.402,16.28,16.725,16,6.03K,0.55%
4/18/2018,16.312,16.47,17.2,16.14,22.11K,0.55%
3/18/2018,16.223,16.35,16.81,16.05,2.28K,-0.62%
2/18/2018,16.324,16.705,16.705,16.26,25.43K,-5.12%
1/18/2018,17.204,17.155,17.525,16.905,0.54K,0.84%
12/17/2017,17.06,16.385,17.045,15.555,3.51K,4.14%
11/17/2017,16.382,16.99,17.305,16.285,24.25K,-1.58%
10/17/2017,16.645,16.595,17.43,16.43,1.05K,0.23%
9/17/2017,16.607,17.565,18.16,16.655,5.95K,-4.99%
8/17/2017,17.48,16.635,17.6,16.09,23.43K,4.36%
7/17/2017,16.75,16.58,16.825,15.15,3.07K,1.10%
6/17/2017,16.568,17.3,17.695,16.33,19.66K,-4.61%
5/17/2017,17.368,17.185,17.4,16.03,6.07K,1.03%
4/17/2017,17.191,18.22,18.5,17.13,37.85K,-5.73%
3/17/2017,18.235,18.295,18.455,16.82,5.42K,-1.00%
2/17/2017,18.42,17.45,18.475,17.405,29.64K,5.19%
1/17/2017,17.512,16.04,17.56,16.03,0.53K,9.89%
12/16/2016,15.936,16.495,17.19,15.7,3.48K,-2.86%
11/16/2016,16.406,18,18.8,16.255,19.28K,-7.63%
10/16/2016,17.762,18.87,18.87,17.195,0.47K,-7.19%
9/16/2016,19.139,18.7,20.1,18.585,3.41K,2.78%
8/16/2016,18.622,20.51,20.75,18.505,16.16K,-8.32%
7/16/2016,20.312,18.79,21.095,18.775,4.92K,9.31%
6/16/2016,18.582,16,18.855,15.92,27.73K,16.34%
5/16/2016,15.972,17.85,18.03,15.96,4.05K,-10.21%
4/16/2016,17.789,15.02,17.99,15.015,29.27K,15.06%
3/16/2016,15.46,14.925,16.15,14.725,8.00K,3.79%
2/16/2016,14.896,14.245,15.785,14.235,25.17K,4.69%
1/16/2016,14.229,14.1,14.385,13.71,0.55K,3.30%
12/15/2015,13.775,14.04,14.605,13.635,1.83K,-1.96%
11/15/2015,14.05,15.385,15.385,13.905,18.97K,-9.74%
10/15/2015,15.566,14.515,16.25,14.41,0.24K,7.26%
9/15/2015,14.513,14.62,15.265,14.265,2.44K,-0.44%
8/15/2015,14.577,14.73,15.51,14.045,15.26K,-1.15%
7/15/2015,14.746,15.635,15.695,14.33,3.17K,-5.18%
6/15/2015,15.551,16.635,17.1,15.415,21.65K,-6.79%
5/15/2015,16.684,16.09,17.71,15.905,2.23K,3.47%
4/15/2015,16.124,16.62,17.08,15.815,19.44K,-2.76%
3/15/2015,16.581,16.585,17.325,15.27,2.41K,0.41%
